configuration,checkpoint,sparsity,accuracy,avg_jacobian_norm,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/4/checkpoint_spar79.51.pth,79.5066045066045,74.15,59.125703125,215.09635434872087,18.012205509215757,19.387506120112562,11.476214233730214,8.877737394182809,14.774406652251582,15.440925351468284,16.848281026253073,6.7396916823853505,19.499500326383114,3.6317867353487867,15.029550717574962,3.2688063628280988,13.699203014845995,5.937544696066746,10.047606121861484,6.85471635354598,10.08593501169332,6.8503480776859975
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/4/checkpoint_spar85.12.pth,85.12043512043512,74.34,60.2403890625,641.3719491254813,26.71583538638659,23.455528852023285,25.12148396209196,22.430020916202412,23.15436009057531,25.13716401651904,23.043488899715197,4.04484566806766,29.4471920128291,3.5444896230798153,29.580150107286915,10.311808844049045,23.87469304665219,5.732274050462659,17.928618839153312,4.539450690269561,18.47909145633098,5.757855857378727
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/4/checkpoint_spar89.15.pth,89.14739107046799,71.45,56.8168328125,679.4207756099519,30.763878601114353,12.00451655417909,29.01197522627244,13.90379337879929,22.145160301313012,38.70941488325355,29.61179565080569,11.925994350769757,15.655493737559762,7.581830402695186,16.49865945522379,4.653013931974087,13.212602311946515,4.983870604205066,11.738540971384841,4.502680505913826,13.788576977484436,6.200643810144249
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/4/checkpoint_spar92.12.pth,92.12315462315462,66.62,38.57478984375,1681.802469329625,23.847874436816554,8.119136884371175,26.47970488794733,8.23184623040236,12.483963660962377,18.135298709621164,10.174689097330512,4.067802650343922,7.029037605994553,6.279284169970856,10.194130166684467,7.748842613090068,7.183240410607537,3.6443471788658086,5.725844081563884,4.381770694704674,6.3964592326835685,4.19563676434574
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/5/checkpoint_spar0.00.pth,0.0,73.16,48.3924921875,4.465516279571682,1.8112606635370203,1.9456254985964925,1.9341723741058223,1.7807306623495915,1.834615516806167,1.8721608522550377,2.5409231436582322,2.0229351381011367,2.0490981738295897,2.015173393064062,1.8480151402906337,2.0407457495548478,3.0954611458148693,2.410149823152212,2.553325003379236,3.140645637410618,3.0482194665930398,4.784354064104569
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/5/checkpoint_spar27.23.pth,27.22902097902098,68.43,29.16971796875,39.98569075471776,2.905912216394003,2.2330174434160526,3.007196355913737,1.7836472700438133,2.8532306369700837,2.1254477911091043,2.7362453047872073,2.017106737371428,2.024656131751498,2.1711334006337375,2.2309362926770784,2.0224271923118815,2.676679135144158,1.978380655140032,2.016031073663316,2.0035671320162542,2.054807089262673,1.9428155467636046
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/5/checkpoint_spar47.15.pth,47.148257725180805,74.71,57.49649140625,141.2189339177167,10.20321080984569,10.64997468192492,12.651968238181325,9.229508348919936,14.684299616462365,9.507719307332724,16.216326698770978,3.7576876664035397,10.702837811781796,5.851465249622887,11.585648328353026,6.4077534607524065,10.10558946242664,5.691674621706791,8.026827555384516,4.625969182746903,8.303092169578449,4.530644409676955
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/5/checkpoint_spar61.58.pth,61.5836620644313,72.11,42.6896640625,112.08731184203293,7.7021077444322055,5.45401024063869,8.05769726447007,7.079943314208343,8.733892029324968,5.2125614620392104,8.843248035341317,4.106778556706074,7.159614409791671,4.246417248897571,7.052193077135926,3.163166665051123,6.42492783934956,3.4484757538922954,5.098043294985108,3.84749461366411,5.073983017324611,3.214009019992767
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/5/checkpoint_spar72.02.pth,72.02461000537924,75.19,63.50940703125,214.95289108767918,13.699308467089237,11.241715620556631,15.45259906931685,12.998582054826299,13.39602511838561,11.136465296218695,17.156571928037728,4.615652151038692,15.061206961237042,8.54676293021828,12.845935358526825,4.844709626789832,14.276583450635364,5.807334078403922,10.622564595467122,5.5796692485599015,10.959442973968754,6.329179763319058
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/5/checkpoint_spar79.56.pth,79.55666128743052,73.99,56.554265625,1145.674013026718,36.78309965824456,13.30551861070317,17.6054183205554,17.310326399202356,32.138024848784696,17.974829968447583,46.540245653072986,3.7412905510154935,21.507112235197045,3.709067342588222,17.30764985433846,3.2849040172620083,20.944023708917296,5.34957726439714,15.535171742220905,4.80607979870775,16.759735604589252,5.635181841448954
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/5/checkpoint_spar85.14.pth,85.13911302372841,73.8,60.4960734375,503.0267279195143,26.091312478021855,24.52430769551074,116.53359342184984,29.38343107010244,67.6535454289478,11.769373716293353,43.021228062260654,4.45738537903885,27.437660956859105,3.611287167616233,27.315251577761956,3.436486381610115,30.84028507537341,3.636044120569442,19.833470860287814,4.658675203407999,24.98493054079117,6.725178147892811
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/5/checkpoint_spar89.10.pth,89.09509294124679,74.72,58.67153828125,3103.2177530479757,63.86934058683087,45.40709334261155,76.30777993769507,46.941940097099405,101.2263996493285,30.03129872201459,49.429375748291086,3.5631028559919558,68.15074624976599,3.7211888339949137,40.60188906231412,3.635483303818272,58.91464866883875,3.3166632119294275,41.59382802840541,3.652866370553153,35.32357487707384,7.340105738651326
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/5/checkpoint_spar92.01.pth,92.0099665291973,61.88,26.4282765625,2708.7486589716586,3.8087495755659266,2.8008586531683948,8.883694514164107,14.478633389849355,2.845945054835261,3.8890736163027224,8.396388306909005,2.537504772238632,2.792370015804999,3.3755812914360397,3.5689216544193916,2.5800694509842965,4.586067126947982,2.9581965478959606,2.47335902570443,2.5422011809147764,2.421619199453228,2.6800885703360513
static_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/static_rewind/1/checkpoint_spar0.00.pth,0.0,74.59,52.6262109375,4.431153546175933,1.8746401141914033,1.9209851582046604,1.9060703503226621,1.8961166132503597,1.9280621197154697,1.958328612274692,2.753687585710244,2.024476304893779,2.016476608451862,2.034751385372163,2.007463852803182,2.042001623979547,2.99375921555112,2.415460253622749,2.5813382248143046,3.299199418416618,3.238473861868379,5.045065291660248
static_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/static_rewind/1/checkpoint_spar27.25.pth,27.2473253242484,74.14,29.225668359375,5.505953275268445,1.8562308384805226,1.8321222900261802,2.0494431873916907,1.854480065188032,1.819794044361181,1.8896716923800325,2.711983831485813,2.020785582753023,1.9290083522042973,2.037047586886157,1.9506528234751135,2.019908574751554,2.7821947480755624,2.2912735877610615,2.34033738461169,2.6302872235173904,2.507290034313355,3.2035805907413346
static_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/static_rewind/1/checkpoint_spar47.21.pth,47.21437750283904,75.41,42.50398671875,5.496012128686876,1.8298820673369343,1.8813463836661004,2.22466147749722,1.8126887054568936,2.11648841879797,1.7795436549780108,2.4855035771554577,1.9683104855493052,1.9168059755149787,1.9830833651074793,1.9123341464814354,1.9640676821514829,2.8908161453250494,2.1591492848052667,2.1879877832541035,2.4615011352495486,2.379966938745601,3.475264594465917
static_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/static_rewind/1/checkpoint_spar61.67.pth,61.6654712808559,71.53,31.48230078125,7.908960060546947,1.816452541564491,1.8974575188621905,1.9332649960517527,1.9180784948106513,1.921814014352877,1.9780220345612278,2.660569578201797,1.9502942087891497,2.000071366790537,2.159335947368406,2.0975601654642926,1.9768996744655452,2.8508988773059496,2.139122746887073,2.1184623744686757,2.2882532678372955,2.337943237453246,2.7777512725183895
static_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/static_rewind/1/checkpoint_spar72.19.pth,72.18822843822844,71.66,33.31473046875,8.602059716338065,1.9547074618259923,1.869889207054071,2.022867938714021,1.9756172660615585,1.9190283338720986,1.9998829412305457,2.6892577746080932,1.9295412423700065,2.0128199197653376,1.9668433848865436,1.85242142140141,2.0052037971229892,2.933558419467602,2.0830974281718504,2.0522929971645034,2.2293872556916705,2.1860350484371396,2.532108400872259
static_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/static_rewind/1/checkpoint_spar79.72.pth,79.72252106867491,71.89,43.14550234375,6.5010136066071995,1.917744774714668,2.0302662008543044,2.1520529651803457,1.9070872851735188,1.8411027756473761,2.037018821739274,2.933127780437827,2.0036419768406137,2.051301968344525,1.9334379072246237,1.9446171721387435,2.163777310159921,2.73758644439437,1.9924907853942,2.025260797663777,2.186606641872737,2.116783465059369,2.522243218563111
